DateTime,Close,Open,Low,High,Volume
2022-12-27,58100,58000,57900,58400,10667027
2022-12-26,57900,58000,57700,58100,6756411
2022-12-23,58100,58200,57700,58400,9829407
2022-12-22,59100,58100,58100,59100,10720630
2022-12-21,58000,58700,58000,59100,10356971
2022-12-20,58600,59000,58500,59100,9284761
2022-12-19,59500,59500,59100,59900,7696187
2022-12-16,59500,58300,58300,59500,13033596
2022-12-15,59300,59800,59300,60200,8716039
2022-12-14,60500,59800,59800,60600,8207485
2022-12-13,59700,59600,59400,60300,9040873
2022-12-12,59500,59900,59400,60000,9036472
2022-12-09,60400,59300,59300,60600,10529632
2022-12-08,59200,58700,58600,59200,12986815
2022-12-07,58900,58800,58500,59600,12100662
2022-12-06,59200,59800,59200,60100,13888300
2022-12-05,60300,60900,60000,61100,13767787
2022-12-02,60400,62500,60400,62500,15331184
2022-12-01,62600,63100,62300,63200,16631445
2022-11-30,62200,60400,60200,62200,19768903
2022-11-29,60600,59900,59800,60600,7014160
2022-11-28,60100,60500,59800,60500,8589032
2022-11-25,61000,61400,60800,61700,6677933
2022-11-24,61400,61200,60900,61700,8125010
2022-11-23,61000,61200,60700,61300,8765050
2022-11-22,60600,60900,60300,61200,9411289
2022-11-21,61400,61400,60800,61800,9378097
2022-11-18,61800,61800,61400,62400,12236503
2022-11-17,61400,62000,61300,62000,13298296
2022-11-16,62700,62400,61700,62700,12909260
2022-11-15,62400,62200,61600,62500,12310986
2022-11-14,61900,62900,61700,62900,15973416
2022-11-11,62900,63100,62300,63200,20037163
2022-11-10,60400,61400,60400,61500,21087633
2022-11-09,62000,62000,61300,62200,14045592
2022-11-08,61800,60500,60500,61900,18273898
2022-11-07,60200,59700,59400,60300,12437246
2022-11-04,59400,59100,58400,59500,12445841
2022-11-03,59200,58600,58100,59800,17492162
2022-11-02,59600,59700,59300,60000,13202919
2022-11-01,60000,59900,59500,60300,17201647
2022-10-31,59400,58100,58000,59900,18999514
2022-10-28,57300,58900,57200,59200,20924937
2022-10-27,59500,59700,58900,60100,21756712
2022-10-26,59400,58000,57700,59600,20824967
2022-10-25,57700,57000,57000,58600,17405678
2022-10-24,57500,57000,56700,57500,16944503
2022-10-21,55900,55100,55100,56300,11456060
2022-10-20,55500,55200,55100,56000,17107653
2022-10-19,55800,56700,55700,56900,12660652
2022-10-18,56500,56700,55800,57100,14820702
2022-10-17,56600,55800,55700,57000,13641878
2022-10-14,56300,56200,55800,56500,12924326
2022-10-13,55200,55400,55200,56100,13784602
2022-10-12,55800,55700,55200,57000,18408910
2022-10-11,55400,54400,54000,55700,21437877
2022-10-07,56200,55900,55200,56900,16886813
2022-10-06,56300,56700,56300,57300,14944446
2022-10-05,56000,56900,55400,57200,22458970
2022-10-04,55200,55300,54500,55400,19148435
2022-09-30,53100,52300,51800,53600,22503249
2022-09-29,52600,53300,52600,53700,13882080
2022-09-28,52900,53900,52500,54400,19991129
2022-09-27,54200,53800,53500,54200,16631289
2022-09-26,53900,53700,53600,54200,15008449
2022-09-23,54500,54400,54200,54900,10555964
2022-09-22,54400,54600,54300,54700,12786510
2022-09-21,55300,55400,55000,55500,11863700
2022-09-20,55800,56400,55800,57000,14041465
2022-09-19,56400,56300,56000,57000,12278653
2022-09-16,56200,55600,55500,56400,13456503
2022-09-15,56000,57000,56000,57100,11664819
2022-09-14,56800,56200,56100,57200,12524961
2022-09-13,58100,57000,56800,58500,17166581
2022-09-08,55600,56200,55600,56400,18000016
2022-09-07,56000,56700,55900,56700,17384854
2022-09-06,57100,57200,56900,57600,7503086
2022-09-05,57100,57400,56800,57800,11425977
2022-09-02,57500,58300,57500,58600,15040310
2022-09-01,58400,58700,58300,58900,14905777
2022-08-31,59700,58200,58200,59900,14203512
2022-08-30,58800,58700,58300,59000,9690044
2022-08-29,58600,58700,58600,58900,9841329
2022-08-26,60000,60300,59900,60900,9499995
2022-08-25,59700,59200,59000,59700,5767902
2022-08-24,59000,59200,59000,59500,8888486
2022-08-23,59100,59000,59000,59600,9041629
2022-08-22,60000,60300,59800,60400,8259865
2022-08-19,60900,61400,60600,61600,6923679
2022-08-18,61500,60300,60000,61900,16372754
2022-08-17,60400,61100,60300,61200,9061518
2022-08-16,61000,60500,60300,61600,15036727
2022-08-12,60200,59500,59400,60700,10786658
2022-08-11,59900,59600,59300,60000,15141941
2022-08-10,59100,58900,58600,59200,18084349
2022-08-09,60000,60600,59600,60700,18251170
2022-08-08,60800,61400,60600,61400,11313150
2022-08-05,61500,61700,61200,61900,9567620
2022-08-04,61500,61700,61200,61800,9125439
2022-08-03,61300,61600,61000,61600,10053861
2022-08-02,61700,61200,61000,61900,13614895
2022-08-01,61300,61000,60300,61700,13154816
2022-07-29,61400,62400,61300,62600,15093120
2022-07-28,61900,62300,61600,62600,10745302
2022-07-27,61800,61300,61200,61900,7320997
2022-07-26,61700,60800,60800,61900,6597211
2022-07-25,61100,60900,60800,61900,9193681
2022-07-22,61300,61800,61200,62200,10261310
2022-07-21,61800,61100,60700,61900,12291374
2022-07-20,60500,61800,60500,62100,16782238
2022-07-19,60900,61400,60200,61500,15248261
2022-07-18,61900,60600,60500,62000,20832517
2022-07-15,60000,58400,58100,60000,18685583
2022-07-14,57500,57500,57400,58200,15067012
2022-07-13,58000,58300,58000,58600,10841315
2022-07-12,58100,58600,58100,58700,9336061
2022-07-11,58800,59300,58700,59600,13042624
2022-07-08,58700,58600,58200,59300,15339271
2022-07-07,58200,56400,56300,58700,21322833
2022-07-06,56400,57300,56400,57300,16820461
2022-07-05,57200,57600,57200,58200,14216539
2022-07-04,57100,56100,55700,57400,17807126
2022-07-01,56200,56900,55900,57500,24982097
2022-06-30,57000,57200,57000,57600,18915142
2022-06-29,58000,58500,58000,58800,14677138
2022-06-28,59400,59200,58700,59500,13540538
2022-06-27,58800,59000,58300,59900,18122236
2022-06-24,58400,57900,57700,59100,23256103
2022-06-23,57400,57700,56800,58000,28338608
2022-06-22,57600,59000,57600,59100,23334687
2022-06-21,58500,58700,58200,59200,25148109
2022-06-20,58700,59800,58100,59900,34111306
2022-06-17,59800,59400,59400,59900,29053450
2022-06-16,60900,61300,60500,61800,23394895
2022-06-15,60700,61300,60200,61500,26811224
2022-06-14,61900,61200,61100,62200,24606419
2022-06-13,62100,62400,62100,62800,22157816
2022-06-10,63800,64000,63800,64400,22193552
2022-06-09,65200,65100,64500,65200,25790725
2022-06-08,65300,65400,65300,65700,12483180
2022-06-07,65500,66200,65400,66400,19355755
2022-06-03,66800,67200,66800,67300,8222883
2022-06-02,66700,66600,66400,67000,14959443
2022-05-31,67400,67500,66700,67500,24365002
2022-05-30,67700,67500,66900,67800,14255484
2022-05-27,66500,66700,66200,66900,11405555
2022-05-26,65900,66300,65500,67200,15970890
2022-05-25,66400,66700,65900,67100,15150490
2022-05-24,66500,67500,66500,67700,15482576
2022-05-23,67900,68800,67600,68800,13684088
2022-05-20,68000,67800,67700,68400,12109671
2022-05-19,67500,66500,66500,67600,17073727
2022-05-18,68100,68300,67600,68700,16486319
2022-05-17,67600,66600,66600,67900,15680447
2022-05-16,66300,67100,66100,67400,11937555
2022-05-13,66500,65300,65200,66700,14551536
2022-05-12,64900,65200,64900,65500,16414188
2022-05-11,65700,65500,65200,66300,12330920
2022-05-10,65700,65900,65300,66300,17235605
2022-05-09,66100,66300,66100,66900,11858736
2022-05-06,66500,67000,66500,67100,14356156
2022-05-04,67900,68000,67500,68400,11505248
2022-05-03,67500,67400,67300,68400,14168875
2022-05-02,67300,66600,66500,67600,14106184
2022-04-29,67400,65100,65000,67600,26190390
2022-04-28,64800,65400,64500,65500,16895527
2022-04-27,65000,65400,64900,65500,18122084
2022-04-26,66100,66400,66100,66700,12946923
2022-04-25,66300,66500,66300,66700,11016474
2022-04-22,67000,67200,66700,67300,11791478
2022-04-21,67700,67600,67500,68300,12847448
2022-04-20,67400,67000,66500,67400,16693293
2022-04-19,67300,67100,67000,68000,12959434
2022-04-18,66700,66500,66100,67100,10119203
2022-04-15,66600,67200,66500,67300,13176415
2022-04-14,67500,68700,67500,68700,16409494
2022-04-13,68700,67300,67200,69000,17378619
2022-04-12,67000,67600,67000,67700,13924389
2022-04-11,67900,67800,67400,68100,12263735
2022-04-08,67800,68100,67700,68300,15453191
2022-04-07,68000,68500,68000,68500,20683327
2022-04-06,68500,68600,68500,68800,15517308
2022-04-05,69200,69400,69100,69600,8467248
2022-04-04,69300,68900,68600,69300,11107905
2022-04-01,69100,69500,69000,69500,15916846
2022-03-31,69600,69900,69600,70200,12510366
2022-03-30,69900,70300,69800,70500,12670187
2022-03-29,70200,70000,69800,70300,13686208
2022-03-28,69700,69500,69200,69900,12619289
2022-03-25,69800,70100,69600,70200,12986010
2022-03-24,69800,69600,69600,70300,37943357
2022-03-23,70500,70600,70300,71200,12398025
2022-03-22,70300,69900,69900,70500,9402666
2022-03-21,69900,70900,69900,71000,11169002
2022-03-18,70700,70600,70200,70900,14410038
2022-03-17,71200,71200,70900,71800,17646315
2022-03-16,70400,70200,69700,70500,10175750
2022-03-15,69500,69800,69500,70100,10258562
2022-03-14,70200,70000,69600,70200,9040993
2022-03-11,70000,70500,69700,70700,15787655
2022-03-10,71200,70800,70500,71200,21159248
2022-03-08,69500,68800,68700,70000,15828269
2022-03-07,70100,70000,69900,70600,18617138
2022-03-04,71500,72700,71200,72700,13409634
2022-03-03,72900,72300,72200,73100,13232638
2022-03-02,71700,72300,71500,72400,12481430
2022-02-28,72100,71100,71000,72100,17781783
2022-02-25,71900,72100,71900,72600,13168484
2022-02-24,71500,72300,71300,72300,15759283
2022-02-23,73000,73800,72800,73800,10397964
2022-02-22,73400,73000,72800,73400,11692469
2022-02-21,74200,73200,72600,74300,10489717
2022-02-18,74300,74600,73700,74800,10122226
2022-02-17,75000,75000,74500,75600,13605382
2022-02-16,74800,74600,74200,74900,10767386
2022-02-15,73700,74100,73100,74200,9320365
2022-02-14,73700,74400,73100,74500,13993255
2022-02-11,74900,75000,74600,75500,12205407
2022-02-10,75400,75600,74700,75800,17746033
2022-02-09,74700,74300,74000,74700,9699122
2022-02-08,73500,73800,73000,74200,11736666
2022-02-07,73000,73500,72400,73600,14240838
2022-02-04,74000,74300,73400,74600,12730034
2022-02-03,73300,74900,73300,74900,17744721
2022-01-28,73300,71300,71200,73700,21367447
2022-01-27,71300,73800,71300,74000,22274777
2022-01-26,73300,73900,73100,74400,12976730
2022-01-25,74000,74800,73200,75000,17766704
2022-01-24,75100,75400,74700,75800,13691134
2022-01-21,75600,75800,74700,75800,15774888
2022-01-20,76500,76200,75900,76700,9708168
2022-01-19,76300,76500,76100,76900,10598290
2022-01-18,77000,77600,76600,77800,9592788
2022-01-17,77500,77600,76900,77800,8785122
2022-01-14,77300,77700,77100,78100,10096725
2022-01-13,77900,79300,77900,79300,13889401
2022-01-12,78900,79500,78600,79600,11000502
2022-01-11,78900,78400,78000,79000,13221123
2022-01-10,78000,78100,77100,78100,9947422
2022-01-07,78300,78100,77400,78400,15163757
2022-01-06,76900,76700,76600,77600,12931954
2022-01-05,77400,78800,76400,79000,25470640
2022-01-04,78700,78800,78300,79200,12427416
2022-01-03,78600,79400,78200,79800,13502112
2021-12-30,78300,78900,78100,79500,14236700
