"Date","Price","Open","High","Low","Vol.","Change %"
"07/24/2023","929.90","934.99","935.55","920.89","966.47M","-0.50%"
"07/21/2023","934.58","918.51","937.29","918.19","992.32M","0.32%"
"07/20/2023","931.60","918.27","931.79","913.98","978.78M","0.85%"
"07/19/2023","923.72","917.51","923.90","910.25","1.02B","1.05%"
"07/18/2023","914.14","901.43","914.18","901.12","1.14B","1.76%"
"07/17/2023","898.29","894.75","899.44","891.18","1.12B","0.22%"
"07/14/2023","896.28","898.17","899.68","890.21","1.06B","0.36%"
"07/13/2023","893.07","885.21","895.23","884.33","1.12B","1.50%"
"07/12/2023","879.88","878.97","880.53","873.91","1.04B","0.13%"
"07/11/2023","878.73","866.55","878.76","865.65","935.39M","2.14%"
"07/10/2023","860.35","868.00","870.18","857.35","1.01B","-0.80%"
"07/07/2023","867.27","868.08","872.29","861.20","1.04B","-0.37%"
"07/06/2023","870.53","889.30","889.77","869.46","1.13B","-2.32%"
"07/05/2023","891.18","890.49","895.63","889.23","918.62M","0.13%"
"07/04/2023","890.00","890.94","894.70","883.41","972.95M","0.08%"
"07/03/2023","889.29","873.91","889.29","873.66","884.08M","2.42%"
"06/30/2023","868.24","862.70","869.24","853.68","1.00B","0.75%"
"06/29/2023","861.79","868.65","870.75","859.77","1.17B","-0.60%"
"06/28/2023","866.97","879.61","880.23","866.70","1.16B","-0.82%"
"06/27/2023","874.14","877.88","878.43","867.68","1.22B","-0.61%"
"06/26/2023","879.50","874.31","881.24","869.29","1.29B","0.53%"
"06/23/2023","874.84","880.37","880.46","872.28","1.29B","-0.18%"
"06/22/2023","876.38","870.79","880.12","869.79","1.34B","0.08%"
"06/21/2023","875.70","887.26","890.94","875.33","1.22B","-1.21%"
"06/20/2023","886.41","886.47","891.00","883.09","1.30B","-0.25%"
"06/19/2023","888.61","888.52","889.49","881.14","1.15B","0.07%"
"06/16/2023","887.95","882.45","888.27","878.99","949.46M","1.13%"
"06/15/2023","878.04","877.62","884.55","865.48","1.12B","0.71%"
"06/14/2023","871.83","899.35","899.85","870.48","1.34B","-2.79%"
"06/13/2023","896.81","890.81","898.28","889.58","1.12B","1.25%"
"06/12/2023","885.76","887.20","887.20","881.76","1.01B","0.23%"
"06/09/2023","883.71","882.11","886.52","880.76","1.07B","0.87%"
"06/08/2023","876.13","878.86","879.44","871.50","1.12B","-0.52%"
"06/07/2023","880.72","872.10","880.81","872.10","1.09B","1.20%"
"06/05/2023","870.28","871.05","872.95","865.13","1.05B","0.26%"
"06/02/2023","868.06","866.16","868.17","864.97","1.11B","0.50%"
"06/01/2023","863.78","855.95","863.86","855.46","982.02M","0.80%"
"05/31/2023","856.94","851.37","860.30","850.88","1.07B","0.64%"
"05/30/2023","851.50","850.00","851.53","844.48","1.23B","0.98%"
"05/26/2023","843.23","849.80","853.06","842.17","1.18B","-0.53%"
"05/25/2023","847.72","857.30","860.01","845.84","1.25B","-0.90%"
"05/24/2023","855.46","856.25","857.84","853.00","1.15B","-0.43%"
"05/23/2023","859.16","853.57","861.30","853.57","1.27B","0.84%"
"05/22/2023","852.04","840.97","852.33","837.49","1.09B","1.23%"
"05/19/2023","841.72","839.56","842.21","836.68","1.31B","0.70%"
"05/18/2023","835.89","839.27","841.10","833.73","1.32B","0.20%"
"05/17/2023","834.19","815.58","834.20","814.65","1.27B","2.14%"
"05/16/2023","816.75","818.96","822.64","813.32","1.37B","0.27%"
"05/15/2023","814.53","820.50","820.50","806.47","1.28B","-0.96%"
"05/12/2023","822.43","824.11","828.14","820.24","1.69B","-0.26%"
"05/11/2023","824.54","836.60","840.66","821.94","1.75B","-0.63%"
"05/10/2023","829.74","836.02","839.86","827.88","1.32B","-0.73%"
"05/09/2023","835.85","841.41","843.40","827.78","1.18B","-0.76%"
"05/08/2023","842.28","851.52","854.32","842.07","1.27B","-0.33%"
"05/04/2023","845.06","842.13","847.69","839.08","1.19B","0.22%"
"05/03/2023","843.18","848.05","852.23","841.81","1.17B","-1.45%"
"05/02/2023","855.61","845.18","855.61","844.68","1.03B","1.52%"
"04/28/2023","842.83","860.11","860.11","839.67","1.16B","-0.87%"
"04/27/2023","850.21","831.89","850.88","823.19","1.46B","2.38%"
"04/26/2023","830.44","835.94","846.42","829.19","1.26B","-0.99%"
"04/25/2023","838.71","857.54","858.91","828.25","1.54B","-1.93%"
"04/24/2023","855.23","867.38","870.08","852.48","1.31B","-1.56%"
"04/21/2023","868.82","884.27","888.21","868.36","2.02B","-1.91%"
"04/20/2023","885.71","905.81","906.00","884.33","2.32B","-2.58%"
"04/19/2023","909.20","908.87","913.97","907.59","1.88B","0.02%"
"04/18/2023","909.02","910.75","910.75","902.90","1.97B","-0.05%"
"04/17/2023","909.50","905.35","909.50","898.84","1.54B","0.63%"
"04/14/2023","903.84","902.56","906.69","900.70","1.46B","1.07%"
"04/13/2023","894.25","885.50","895.29","875.42","1.70B","0.41%"
"04/12/2023","890.62","897.11","900.83","888.63","1.99B","-0.93%"
"04/11/2023","898.94","893.20","899.37","879.73","1.56B","1.26%"
"04/10/2023","887.78","882.75","890.96","877.31","1.59B","0.88%"
"04/07/2023","880.07","871.83","880.07","866.58","1.67B","1.67%"
"04/06/2023","865.58","869.65","869.94","859.13","1.42B","-0.78%"
"04/05/2023","872.36","857.54","872.44","856.15","1.50B","1.77%"
"04/04/2023","857.18","853.92","861.13","852.02","1.31B","0.26%"
"04/03/2023","854.96","850.86","855.20","847.70","1.15B","0.88%"
"03/31/2023","847.52","849.98","851.13","842.61","1.28B","-0.35%"
"03/30/2023","850.48","850.78","852.59","846.10","1.50B","0.77%"
"03/29/2023","843.94","833.90","843.94","832.44","1.31B","1.25%"
"03/28/2023","833.51","831.07","833.68","825.40","1.22B","0.70%"
"03/27/2023","827.69","827.95","829.18","817.81","1.18B","0.43%"
"03/24/2023","824.11","820.16","824.11","814.07","1.29B","1.47%"
"03/23/2023","812.19","807.53","824.20","806.40","1.18B","-0.15%"
"03/22/2023","813.43","811.17","813.43","807.91","1.12B","1.36%"
"03/21/2023","802.53","806.51","809.33","802.42","1.06B","0.04%"
"03/20/2023","802.20","793.04","803.42","791.45","1.10B","0.60%"
"03/17/2023","797.39","791.18","798.62","785.98","1.15B","1.97%"
"03/16/2023","781.98","780.53","785.54","767.11","1.11B","0.10%"
"03/15/2023","781.17","774.53","784.59","773.65","1.03B","3.05%"
"03/14/2023","758.05","788.44","789.22","758.05","1.14B","-3.91%"
"03/13/2023","788.89","784.02","789.18","771.03","1.18B","0.04%"
"03/10/2023","788.60","796.57","798.96","785.66","1.20B","-2.55%"
"03/09/2023","809.22","817.03","817.12","801.10","1.37B","-0.58%"
"03/08/2023","813.95","809.14","817.17","807.95","1.26B","-0.22%"
"03/07/2023","815.76","814.27","818.56","810.47","1.39B","-0.09%"
"03/06/2023","816.51","810.61","816.62","804.47","1.11B","1.76%"
"03/03/2023","802.42","792.90","802.45","792.61","1.10B","1.93%"
"03/02/2023","787.19","793.63","797.01","786.52","1.02B","-0.56%"
"02/28/2023","791.60","784.23","793.65","783.66","1.01B","1.45%"
"02/27/2023","780.30","775.01","781.54","769.75","1.15B","0.18%"
"02/24/2023","778.88","784.94","786.09","774.21","1.19B","-0.56%"
"02/23/2023","783.28","782.18","784.59","774.10","927.83M","0.61%"
"02/22/2023","778.51","782.83","787.85","774.54","1.13B","-1.88%"
"02/21/2023","793.42","789.45","793.42","786.48","1.02B","0.57%"
"02/20/2023","788.89","777.68","789.26","773.86","889.52M","1.71%"
"02/17/2023","775.62","775.03","780.78","772.96","862.50M","-1.16%"
"02/16/2023","784.71","772.17","784.71","772.16","1.24B","2.51%"
"02/15/2023","765.46","782.55","784.38","763.81","1.42B","-1.81%"
"02/14/2023","779.58","778.05","780.13","774.61","1.27B","0.91%"
"02/13/2023","772.55","771.50","774.08","767.64","1.20B","0.01%"
"02/10/2023","772.44","783.07","784.52","771.62","1.31B","-1.55%"
"02/09/2023","784.58","776.60","784.64","776.26","1.41B","0.59%"
"02/08/2023","779.98","777.43","779.98","776.30","1.46B","0.93%"
"02/07/2023","772.79","762.47","773.79","762.30","1.26B","1.51%"
"02/06/2023","761.33","763.66","766.23","760.65","1.19B","-0.71%"
"02/03/2023","766.79","765.37","768.03","761.82","1.14B","0.28%"
"02/02/2023","764.62","759.53","764.84","758.72","1.22B","1.82%"
"02/01/2023","750.96","744.90","752.50","744.03","1.07B","1.41%"
"01/31/2023","740.49","735.19","740.98","732.33","975.26M","0.25%"
"01/30/2023","738.62","743.73","746.33","736.90","1.05B","-0.35%"
"01/27/2023","741.25","741.20","742.07","737.90","1.14B","0.31%"
"01/26/2023","738.94","734.37","740.99","733.23","1.21B","0.90%"
"01/25/2023","732.35","725.23","732.42","725.23","1.02B","2.00%"
"01/20/2023","717.97","712.32","718.03","712.32","1.01B","0.71%"
"01/19/2023","712.89","707.66","712.94","705.76","1.01B","0.16%"
"01/18/2023","711.75","711.12","713.28","708.79","1.18B","0.29%"
"01/17/2023","709.71","716.70","718.90","708.54","1.16B","-1.00%"
"01/16/2023","716.89","714.71","718.15","713.19","1.23B","0.71%"
"01/13/2023","711.82","712.24","714.75","709.26","1.08B","0.14%"
"01/12/2023","710.82","713.56","714.10","707.54","1.25B","0.15%"
"01/11/2023","709.77","701.29","710.29","701.29","1.25B","1.97%"
"01/10/2023","696.05","700.16","704.60","694.92","1.16B","-0.74%"
"01/09/2023","701.21","695.02","701.21","695.02","1.01B","1.78%"
"01/06/2023","688.94","677.28","691.17","676.40","818.51M","1.33%"
"01/05/2023","679.92","685.78","688.35","677.77","885.28M","-0.55%"
"01/04/2023","683.67","670.18","683.67","667.30","901.76M","1.29%"
"01/03/2023","674.95","672.18","675.75","660.32","935.98M","0.51%"
"01/02/2023","671.51","683.84","688.77","670.38","742.77M","-1.15%"
"12/29/2022","679.29","691.35","693.12","675.80","952.16M","-1.89%"
"12/28/2022","692.37","699.24","699.39","691.01","834.83M","-1.68%"
"12/27/2022","704.19","697.25","704.21","697.25","901.44M","1.37%"
"12/26/2022","694.68","691.94","696.96","686.80","797.71M","0.50%"
"12/23/2022","691.25","704.93","704.93","691.25","1.11B","-3.32%"
"12/22/2022","715.02","710.47","715.35","709.52","851.99M","1.32%"
"12/21/2022","705.70","708.13","709.95","701.61","938.03M","0.37%"
"12/20/2022","703.13","715.13","715.29","701.44","977.95M","-1.96%"
"12/19/2022","717.22","716.80","722.42","714.63","776.38M","-0.03%"
"12/16/2022","717.41","711.33","720.48","710.20","889.44M","-0.73%"
"12/15/2022","722.68","725.32","730.51","721.46","957.41M","-0.87%"
"12/14/2022","729.00","718.17","729.17","718.17","1.08B","1.94%"
"12/13/2022","715.16","717.64","719.33","712.21","1.19B","-0.01%"
"12/12/2022","715.22","716.88","718.31","714.26","964.00M","-0.59%"
"12/09/2022","719.49","717.24","721.14","712.40","1.28B","0.98%"
"12/08/2022","712.52","718.37","719.69","711.08","1.07B","-0.78%"
"12/07/2022","718.14","715.63","722.62","711.63","982.85M","-0.18%"
"12/06/2022","719.44","726.32","727.34","719.29","926.87M","-1.89%"
"12/05/2022","733.32","736.45","739.77","731.07","1.06B","0.05%"
"12/02/2022","732.95","740.13","740.18","732.41","856.59M","-1.03%"
"12/01/2022","740.60","740.97","744.56","739.16","825.11M","1.52%"
"11/30/2022","729.54","726.56","729.54","722.40","813.57M","0.27%"
"11/29/2022","727.54","715.02","727.60","713.26","794.01M","1.34%"
"11/28/2022","717.90","731.81","731.81","717.13","878.68M","-2.13%"
"11/25/2022","733.56","737.46","737.53","732.48","710.33M","-0.63%"
"11/24/2022","738.22","729.41","738.70","729.41","793.57M","1.74%"
"11/23/2022","725.59","718.29","725.64","718.29","830.06M","1.87%"
"11/22/2022","712.26","716.24","719.80","711.92","895.81M","-0.88%"
"11/21/2022","718.57","733.00","733.65","717.55","981.80M","-1.82%"
"11/18/2022","731.92","738.34","742.17","731.53","1.30B","-0.76%"
"11/17/2022","737.54","740.62","742.29","735.04","978.99M","-0.75%"
"11/16/2022","743.10","746.55","746.62","737.87","1.19B","-0.25%"
"11/15/2022","744.96","730.33","744.96","730.33","1.13B","2.11%"
"11/14/2022","729.54","732.29","734.73","728.81","1.10B","-0.23%"
"11/11/2022","731.22","727.22","732.12","724.53","1.08B","3.31%"
"11/10/2022","707.78","708.49","712.48","705.70","1.04B","-0.95%"
"11/09/2022","714.60","715.19","717.09","711.15","931.48M","0.18%"
"11/08/2022","713.33","703.36","713.33","703.36","846.23M","1.83%"
"11/07/2022","700.48","696.22","700.49","695.10","722.34M","0.95%"
"11/04/2022","693.89","691.69","694.17","684.99","737.32M","-0.03%"
"11/03/2022","694.13","685.42","695.63","683.74","707.28M","-0.46%"
"11/02/2022","697.37","697.40","699.24","694.94","858.23M","-0.38%"
"11/01/2022","700.05","695.45","700.07","693.92","920.26M","0.68%"
"10/31/2022","695.33","694.69","695.62","689.97","751.26M","1.12%"
"10/28/2022","687.63","690.71","695.51","687.19","847.49M","-1.07%"
"10/27/2022","695.09","686.41","695.22","686.41","852.17M","1.74%"
"10/26/2022","683.17","690.67","691.13","683.14","963.24M","-0.82%"
"10/25/2022","688.85","690.77","695.95","686.21","973.74M","0.05%"
"10/24/2022","688.50","686.43","693.44","686.43","817.96M","2.08%"
"10/21/2022","674.48","678.16","682.49","674.48","1.03B","-0.88%"
"10/20/2022","680.44","688.44","693.14","675.89","1.05B","-1.47%"
"10/19/2022","690.56","697.94","705.84","689.67","1.05B","-0.94%"
"10/18/2022","697.09","692.39","697.37","685.90","1.07B","2.21%"
"10/17/2022","682.00","667.61","682.39","664.83","814.42M","0.55%"
"10/14/2022","678.24","665.17","679.92","665.17","893.52M","4.09%"
"10/13/2022","651.59","669.36","669.71","650.39","1.05B","-2.99%"
"10/12/2022","671.67","669.59","673.42","663.60","1.14B","0.32%"
"10/11/2022","669.50","685.30","685.30","667.63","1.16B","-4.15%"
"10/07/2022","698.49","700.71","707.42","697.59","1.15B","-1.07%"
"10/06/2022","706.01","690.48","706.43","690.48","1.14B","3.02%"
"10/05/2022","685.34","706.76","707.59","683.15","813.67M","-1.64%"
"10/04/2022","696.79","685.19","696.79","683.63","667.60M","3.59%"
"09/30/2022","672.65","668.26","677.68","661.65","786.87M","-0.36%"
"09/29/2022","675.07","686.63","695.49","675.07","803.93M","0.18%"
"09/28/2022","673.87","696.38","702.72","668.30","911.99M","-3.47%"
"09/27/2022","698.11","694.53","700.38","681.59","947.76M","0.83%"
"09/26/2022","692.37","719.60","719.60","690.60","943.31M","-5.07%"
"09/23/2022","729.36","749.87","749.87","728.29","883.28M","-2.93%"
"09/22/2022","751.41","746.82","751.58","736.11","978.69M","-0.46%"
"09/21/2022","754.89","757.13","761.35","750.14","941.67M","-0.72%"
"09/20/2022","760.35","758.35","764.40","757.33","804.84M","1.12%"
"09/19/2022","751.91","771.52","772.45","750.64","882.64M","-2.35%"
"09/16/2022","770.04","776.49","780.25","768.70","889.03M","-1.45%"
"09/15/2022","781.38","786.33","787.00","780.31","851.72M","-0.20%"
"09/14/2022","782.93","775.93","784.45","770.05","858.08M","-1.74%"
"09/13/2022","796.79","790.89","796.83","790.83","842.46M","2.44%"
"09/08/2022","777.81","776.59","781.52","775.31","738.19M","1.25%"
"09/07/2022","768.19","776.82","776.99","765.08","795.84M","-1.45%"
"09/06/2022","779.46","774.23","781.90","774.23","732.72M","1.04%"
"09/05/2022","771.43","784.83","786.60","768.82","741.71M","-1.84%"
"09/02/2022","785.88","793.11","795.87","784.67","801.80M","-0.31%"
"09/01/2022","788.32","800.74","801.02","788.13","711.36M","-2.32%"
"08/31/2022","807.04","792.33","807.19","791.01","637.45M","1.26%"
"08/30/2022","797.02","783.99","797.03","783.99","667.24M","2.20%"
"08/29/2022","779.89","780.48","783.45","775.33","619.62M","-2.81%"
"08/26/2022","802.45","810.33","813.00","801.84","718.36M","-0.61%"
"08/25/2022","807.37","795.18","807.37","794.16","630.31M","1.79%"
"08/24/2022","793.14","788.36","793.14","782.97","714.90M","1.24%"
"08/23/2022","783.42","789.95","793.81","781.92","855.72M","-1.56%"
"08/22/2022","795.87","806.90","806.92","795.87","811.88M","-2.25%"
"08/19/2022","814.17","827.25","827.32","814.17","887.45M","-1.44%"
"08/18/2022","826.06","822.71","826.75","817.52","950.53M","-0.16%"
"08/17/2022","827.42","834.91","834.96","825.46","1.13B","-0.88%"
"08/16/2022","834.74","835.20","836.49","831.69","887.23M","0.37%"
"08/12/2022","831.63","831.18","833.70","826.72","792.43M","-0.06%"
"08/11/2022","832.15","831.99","834.88","828.27","897.83M","1.45%"
"08/10/2022","820.27","829.29","829.29","820.27","897.22M","-1.60%"
"08/09/2022","833.65","831.13","833.94","826.45","976.69M","0.34%"
"08/08/2022","830.86","829.77","831.12","825.94","931.45M","-0.09%"
"08/05/2022","831.64","826.23","832.27","826.23","931.76M","0.79%"
"08/04/2022","825.16","820.06","825.99","820.06","908.49M","1.20%"
"08/03/2022","815.36","804.17","815.40","803.20","997.27M","1.37%"
"08/02/2022","804.34","807.69","807.69","799.36","905.94M","-0.40%"
"08/01/2022","807.61","804.15","808.96","801.40","823.06M","0.50%"
"07/29/2022","803.62","802.97","807.77","801.05","784.40M","0.66%"
"07/28/2022","798.32","802.50","805.20","796.48","737.06M","0.33%"
"07/27/2022","795.70","789.61","795.81","788.29","678.54M","0.73%"
"07/26/2022","789.93","788.76","791.01","786.46","841.39M","0.03%"
"07/25/2022","789.69","787.71","791.25","783.78","871.22M","-0.01%"
"07/22/2022","789.75","796.58","800.65","789.73","892.76M","-0.68%"
"07/21/2022","795.15","792.95","795.67","790.97","937.75M","0.56%"
"07/20/2022","790.72","792.94","795.92","788.02","939.57M","1.07%"
"07/19/2022","782.33","773.73","782.33","771.69","743.42M","0.72%"
"07/18/2022","776.72","770.29","776.72","766.89","720.02M","1.88%"
"07/15/2022","762.39","768.41","769.29","754.33","850.29M","-0.48%"
"07/14/2022","766.08","762.54","768.13","757.99","823.12M","0.38%"
